SECONDS,PID,VALUE,UNITS
41560.17402,Altitude (GPS),616.79792,feet
41561.18202,Altitude (GPS),617.454088,feet
41561.18202,Average speed (GPS),46.9806334,mph
41561.18202,Speed (GPS),71.11816989,mph
41562.11702,Altitude (GPS),617.126004,feet
41562.11702,Average speed (GPS),47.12253963,mph
41562.11702,Speed (GPS),71.23324783,mph
41563.17802,Average speed (GPS),47.28294889,mph
41563.17802,Speed (GPS),71.46340372,mph
41564.20402,Average speed (GPS),47.43673121,mph
41564.20402,Speed (GPS),71.57848167,mph
41565.14402,Average speed (GPS),47.5773259,mph
41565.14402,Speed (GPS),71.80863756,mph
41566.12102,Altitude (GPS),617.454088,feet
41566.12102,Average speed (GPS),47.72111296,mph
41566.12102,Speed (GPS),71.69355961,mph
41567.18202,Average speed (GPS),47.87449546,mph
41567.18202,Speed (GPS),71.57848167,mph
41568.15802,Average speed (GPS),48.01263591,mph
41568.15802,Speed (GPS),71.34832578,mph
41569.22502,Average speed (GPS),48.16096252,mph
41569.22502,Speed (GPS),71.23324783,mph
41570.16202,Average speed (GPS),48.28894884,mph
41570.16202,Speed (GPS),71.11816989,mph
41571.14502,Altitude (GPS),617.126004,feet
41571.14502,Average speed (GPS),48.42121693,mph
41571.14502,Speed (GPS),71.00309194,mph
41572.20102,Altitude (GPS),617.782172,feet
41572.20102,Average speed (GPS),48.56070413,mph
41572.20102,Speed (GPS),70.888014,mph
41573.60202,Altitude (GPS),617.454088,feet
41573.60202,Average speed (GPS),48.74224661,mph
41573.60202,Speed (GPS),70.77293605,mph
41574.15402,Altitude (GPS),617.782172,feet
41574.15402,Average speed (GPS),48.81259352,mph
41574.15402,Speed (GPS),70.65785811,mph
41575.18302,Average speed (GPS),48.94125578,mph
41575.18302,Speed (GPS),70.42770222,mph
41576.16702,Average speed (GPS),49.06214384,mph
41576.16702,Speed (GPS),70.31262427,mph
41577.22302,Altitude (GPS),617.454088,feet
41578.19902,Average speed (GPS),49.30614837,mph
41578.19902,Speed (GPS),70.19754633,mph
41579.73802,Calculated instant fuel rate,1.406987583,gal./h
41579.73802,Engine Fuel Rate,1.08,g/sec
41579.73802,Instant engine power (based on fuel consumption),20.83647321,hp
41579.73802,Vehicle Fuel Rate,1.08,g/sec
41579.73802,Vehicle speed,69.59357353,mph
41579.84602,Average fuel consumption,50.14871027,MPG
41579.84602,Average fuel consumption (total),19.84760274,MPG
41579.84602,Average fuel consumption 10 sec,50.14871027,MPG
41579.84602,Calculated instant fuel consumption,49.46290741,MPG
41579.84602,Calculated instant fuel rate,1.406987583,gal./h
41579.84602,Distance travelled,0.002018623,miles
41579.84602,Distance travelled (total),2.61545312,miles
41579.84602,Engine Fuel Rate,1.08,g/sec
41579.84602,Fuel used,4.03E-05,gallon
41579.84602,Fuel used (total),0.131776984,gallon
41579.84602,Fuel used price,0.00014008,$
41579.84602,Fuel used price (total),0.46,$
41579.84602,Instant engine power (based on fuel consumption),20.83647321,hp
41579.84602,Vehicle Fuel Rate,1.08,g/sec
41579.84602,Vehicle speed,69.59357353,mph
41579.94602,Average fuel consumption,49.61907486,MPG
41579.94602,Average fuel consumption (total),19.85639021,MPG
41579.94602,Average fuel consumption 10 sec,49.88248673,MPG
41579.94602,Average speed,143.1900148,mph
41579.94602,Calculated instant fuel consumption,49.90454051,MPG
41579.94602,Calculated instant fuel rate,1.406987583,gal./h
41579.94602,Distance travelled,0.003963388,miles
41579.94602,Distance travelled (total),2.617397885,miles
41579.94602,Engine Fuel Rate,1.08,g/sec
41579.94602,Fuel used,7.99E-05,gallon
41579.94602,Fuel used (total),0.131816608,gallon
41579.94602,Fuel used price,0.00027797,$
